date,product,types,price,predicted_price,discount,festivals
2022-01-01,Durian Fruit,fruit,27.25,27.25,0.0,nan
2022-01-01,product2,"watch,sport",398.61,398.61,0.0,nan
2022-01-01,product3,"phone,sport",199.7,199.7,0.0,nan
2022-01-01,product4,sport,3713.4,3713.4,0.0,nan
2022-01-01,product5,"toy,watch",8.55,8.55,0.0,nan
2022-01-01,Mango Fruit,fruit,12.53,12.53,0.0,nan
2022-01-01,product6,toy,119.19,119.19,0.0,nan
2022-01-02,product2,"watch,sport",398.61,398.61,0.0,nan
2022-01-02,product6,toy,119.19,119.19,0.0,nan
2022-01-02,product5,"toy,watch",8.55,8.55,0.0,nan
2022-01-02,Durian Fruit,fruit,27.25,27.25,0.0,nan
2022-01-02,product3,"phone,sport",199.7,199.7,0.0,nan
2022-01-02,product4,sport,3713.4,3713.4,0.0,nan
2022-01-02,Mango Fruit,fruit,12.53,12.53,0.0,nan
2022-01-03,Mango Fruit,fruit,12.53,12.53,0.0,nan
2022-01-03,product6,toy,119.19,119.19,0.0,nan
2022-01-03,product5,"toy,watch",8.55,8.55,0.0,nan
2022-01-03,product2,"watch,sport",398.61,398.61,0.0,nan
2022-01-03,product3,"phone,sport",199.7,199.7,0.0,nan
2022-01-03,Durian Fruit,fruit,27.25,27.25,0.0,nan
2022-01-03,product4,sport,3713.4,3713.4,0.0,nan
2022-01-04,Durian Fruit,fruit,27.25,27.25,0.0,nan
2022-01-04,product2,"watch,sport",398.61,398.61,0.0,nan
2022-01-04,product3,"phone,sport",199.7,199.7,0.0,nan
2022-01-04,product4,sport,3713.4,3713.4,0.0,nan
2022-01-04,product5,"toy,watch",8.55,8.55,0.0,nan
2022-01-04,Mango Fruit,fruit,12.53,12.53,0.0,nan
2022-01-04,product6,toy,119.19,119.19,0.0,nan
2022-01-05,Mango Fruit,fruit,12.53,12.53,0.0,nan
2022-01-05,product4,sport,3713.4,3713.4,0.0,nan
2022-01-05,product2,"watch,sport",398.61,398.61,0.0,nan
2022-01-05,product6,toy,119.19,119.19,0.0,nan
2022-01-05,product3,"phone,sport",199.7,199.7,0.0,nan
2022-01-05,Durian Fruit,fruit,27.25,27.25,0.0,nan
2022-01-05,product5,"toy,watch",8.55,8.55,0.0,nan
2022-01-06,Durian Fruit,fruit,27.25,27.25,0.0,nan
2022-01-06,product2,"watch,sport",398.61,398.61,0.0,nan
2022-01-06,product3,"phone,sport",199.7,199.7,0.0,nan
2022-01-06,product4,sport,3713.4,3713.4,0.0,nan
2022-01-06,product5,"toy,watch",8.55,8.55,0.0,nan
2022-01-06,Mango Fruit,fruit,12.53,12.53,0.0,nan
2022-01-06,product6,toy,119.19,119.19,0.0,nan
2022-01-07,product4,sport,3713.4,3713.4,0.0,nan
2022-01-07,product5,"toy,watch",8.55,8.55,0.0,nan
2022-01-07,Durian Fruit,fruit,27.25,27.25,0.0,nan
2022-01-07,product6,toy,119.19,119.19,0.0,nan
2022-01-07,product2,"watch,sport",398.61,398.61,0.0,nan
2022-01-07,product3,"phone,sport",199.7,199.7,0.0,nan
2022-01-07,Mango Fruit,fruit,12.53,12.53,0.0,nan
2022-01-08,product4,sport,3713.4,3713.4,0.0,nan
2022-01-08,product5,"toy,watch",8.55,8.55,0.0,nan
2022-01-08,Durian Fruit,fruit,27.25,27.25,0.0,nan
2022-01-08,product6,toy,119.19,119.19,0.0,nan
2022-01-08,product2,"watch,sport",398.61,398.61,0.0,nan
2022-01-08,product3,"phone,sport",199.7,199.7,0.0,nan
2022-01-08,Mango Fruit,fruit,12.53,12.53,0.0,nan
2022-01-09,Mango Fruit,fruit,12.53,12.53,0.0,nan
2022-01-09,Durian Fruit,fruit,27.25,27.25,0.0,nan
2022-01-09,product2,"watch,sport",398.61,398.61,0.0,nan
2022-01-09,product3,"phone,sport",199.7,199.7,0.0,nan
2022-01-09,product4,sport,3713.4,3713.4,0.0,nan
2022-01-09,product5,"toy,watch",8.55,8.55,0.0,nan
2022-01-09,product6,toy,119.19,119.19,0.0,nan
2022-01-10,Mango Fruit,fruit,12.53,12.53,0.0,nan
2022-01-10,product6,toy,119.19,119.19,0.0,nan
2022-01-10,product4,sport,3713.4,3713.4,0.0,nan
2022-01-10,product5,"toy,watch",8.55,8.55,0.0,nan
2022-01-10,product3,"phone,sport",199.7,199.7,0.0,nan
2022-01-10,product2,"watch,sport",398.61,398.61,0.0,nan
2022-01-10,Durian Fruit,fruit,27.25,27.25,0.0,nan
2022-01-11,Mango Fruit,fruit,12.53,12.53,0.0,nan
2022-01-11,product5,"toy,watch",8.55,8.55,0.0,nan
2022-01-11,product4,sport,3713.4,3713.4,0.0,nan
2022-01-11,product6,toy,119.19,119.19,0.0,nan
2022-01-11,product2,"watch,sport",398.61,398.61,0.0,nan
2022-01-11,Durian Fruit,fruit,27.25,27.25,0.0,nan
2022-01-11,product3,"phone,sport",199.7,199.7,0.0,nan
2022-01-12,Durian Fruit,fruit,27.25,27.25,0.0,nan
2022-01-12,product2,"watch,sport",398.61,398.61,0.0,nan
2022-01-12,product3,"phone,sport",199.7,199.7,0.0,nan
2022-01-12,product4,sport,3713.4,3713.4,0.0,nan
2022-01-12,product5,"toy,watch",8.55,8.55,0.0,nan
2022-01-12,Mango Fruit,fruit,12.53,12.53,0.0,nan
2022-01-12,product6,toy,119.19,119.19,0.0,nan
2022-01-13,product6,toy,119.19,119.19,0.0,nan
2022-01-13,Durian Fruit,fruit,27.25,27.25,0.0,nan
2022-01-13,product5,"toy,watch",8.55,8.55,0.0,nan
2022-01-13,product2,"watch,sport",398.61,398.61,0.0,nan
2022-01-13,product3,"phone,sport",199.7,199.7,0.0,nan
2022-01-13,product4,sport,3713.4,3713.4,0.0,nan
2022-01-13,Mango Fruit,fruit,12.53,12.53,0.0,nan
2022-01-14,Durian Fruit,fruit,27.25,27.25,0.0,nan
2022-01-14,product2,"watch,sport",398.61,398.61,0.0,nan
2022-01-14,product3,"phone,sport",199.7,199.7,0.0,nan
2022-01-14,product4,sport,3713.4,3713.4,0.0,nan
2022-01-14,product5,"toy,watch",8.55,8.55,0.0,nan
2022-01-14,Mango Fruit,fruit,12.53,12.53,0.0,nan
2022-01-14,product6,toy,119.19,119.19,0.0,nan
2022-01-15,product5,"toy,watch",8.55,8.55,0.0,nan
2022-01-15,product6,toy,119.19,119.19,0.0,nan
2022-01-15,Mango Fruit,fruit,12.53,12.53,0.0,nan
2022-01-15,product4,sport,3713.4,3713.4,0.0,nan
2022-01-15,product2,"watch,sport",398.61,398.61,0.0,nan
2022-01-15,Durian Fruit,fruit,27.25,27.25,0.0,nan
2022-01-15,product3,"phone,sport",199.7,199.7,0.0,nan
2022-01-16,Durian Fruit,fruit,27.25,27.25,0.0,nan
2022-01-16,product2,"watch,sport",398.61,398.61,0.0,nan
2022-01-16,product3,"phone,sport",199.7,199.7,0.0,nan
2022-01-16,product4,sport,3713.4,3713.4,0.0,nan
2022-01-16,product5,"toy,watch",8.55,8.55,0.0,nan
2022-01-16,Mango Fruit,fruit,12.53,12.53,0.0,nan
2022-01-16,product6,toy,119.19,119.19,0.0,nan
2022-01-17,Mango Fruit,fruit,12.53,12.53,0.0,nan
2022-01-17,product6,toy,119.19,119.19,0.0,nan
2022-01-17,product5,"toy,watch",8.55,8.55,0.0,nan
2022-01-17,product4,sport,3713.4,3713.4,0.0,nan
2022-01-17,product3,"phone,sport",199.7,199.7,0.0,nan
2022-01-17,product2,"watch,sport",398.61,398.61,0.0,nan
2022-01-17,Durian Fruit,fruit,27.25,27.25,0.0,nan
2022-01-18,Durian Fruit,fruit,27.25,27.25,0.0,nan
2022-01-18,product2,"watch,sport",398.61,398.61,0.0,nan
2022-01-18,product3,"phone,sport",199.7,199.7,0.0,nan
2022-01-18,product4,sport,3713.4,3713.4,0.0,nan
2022-01-18,product5,"toy,watch",8.55,8.55,0.0,nan
